timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2013-05-01,159.33,159.41,158.1,158.28,135.891263194,138772621,0.0000,1.0
2013-04-30,159.27,159.72,158.61,159.68,137.093232922,115868414,0.0000,1.0
2013-04-29,158.67,159.65,158.42,159.3,136.766983996,88476104,0.0000,1.0
2013-04-26,158.33,158.6,157.73,158.24,135.856921202,95891293,0.0000,1.0
2013-04-25,158.34,159.27,158.1,158.52,136.097315148,130849307,0.0000,1.0
2013-04-24,157.83,158.3,157.54,157.88,135.547843272,96580174,0.0000,1.0
2013-04-23,156.95,157.93,156.17,157.78,135.461988292,165858583,0.0000,1.0
2013-04-22,155.78,156.54,154.75,156.17,134.079723105,106460508,0.0000,1.0
2013-04-19,154.5,155.55,154.12,155.48,133.487323739,149577337,0.0000,1.0
2013-04-18,155.37,155.41,153.55,154.14,132.336867,167415764,0.0000,1.0
2013-04-17,156.29,156.32,154.28,155.11,133.169660311,226580070,0.0000,1.0
2013-04-16,156.29,157.49,155.91,157.41,135.144324864,147215890,0.0000,1.0
2013-04-15,158.0,158.13,155.1,155.12,133.178245809,216210295,0.0000,1.0
2013-04-12,158.68,159.04,157.92,158.8,136.337709093,116234137,0.0000,1.0
2013-04-11,158.7,159.71,158.54,159.19,136.672543517,110026835,0.0000,1.0
2013-04-10,157.17,158.87,157.13,158.67,136.226097618,135064585,0.0000,1.0
2013-04-09,156.5,157.32,155.98,156.75,134.577681992,100762236,0.0000,1.0
2013-04-08,155.27,156.22,154.75,156.21,134.114065097,86406390,0.0000,1.0
2013-04-05,153.95,155.35,153.77,155.16,133.212587801,159608146,0.0000,1.0
2013-04-04,155.43,156.17,155.09,155.86,133.813572665,131800661,0.0000,1.0
2013-04-03,156.91,157.03,154.82,155.23,133.272686288,153863537,0.0000,1.0
2013-04-02,156.61,157.21,156.37,156.82,134.637780478,101379648,0.0000,1.0
2013-04-01,156.59,156.91,155.67,156.05,133.976697128,99146793,0.0000,1.0
2013-03-28,156.09,156.85,155.75,156.67,134.508998008,102819515,0.0000,1.0
2013-03-27,155.26,156.24,155.0,156.19,134.096894101,99859772,0.0000,1.0
2013-03-26,155.59,156.23,155.42,156.19,134.096894101,86222901,0.0000,1.0
2013-03-25,156.01,156.27,154.35,154.95,133.032292342,151141333,0.0000,1.0
2013-03-22,154.85,155.6,154.73,155.6,133.590349716,111082225,0.0000,1.0
2013-03-21,154.76,155.64,154.1,154.36,132.525747957,128441488,0.0000,1.0
2013-03-20,155.52,155.95,155.26,155.69,133.667619198,113632993,0.0000,1.0
2013-03-19,155.3,155.51,153.59,154.61,132.740385409,167206228,0.0000,1.0
2013-03-18,154.34,155.64,154.2,154.97,133.049463338,126602593,0.0000,1.0
2013-03-15,155.85,156.04,155.31,155.83,133.787816171,138507153,0.6937,1.0
2013-03-14,156.31,156.8,155.91,156.73,133.964132903,127154879,0.0000,1.0
2013-03-13,155.76,156.12,155.23,155.9,133.254694822,92399074,0.0000,1.0
2013-03-12,155.92,156.1,155.21,155.68,133.066650994,105663831,0.0000,1.0
2013-03-11,155.32,156.04,155.13,156.03,133.36581163,83315530,0.0000,1.0
2013-03-08,155.46,155.65,154.66,155.44,132.861512272,123471509,0.0000,1.0
2013-03-07,154.7,154.98,154.52,154.78,132.297380786,85702532,0.0000,1.0
2013-03-06,154.84,154.92,154.16,154.5,132.058052278,94355975,0.0000,1.0
2013-03-05,153.66,154.7,153.64,154.29,131.878555896,121384504,0.0000,1.0
2013-03-04,151.76,152.92,151.52,152.92,130.707555691,97382957,0.0000,1.0
2013-03-01,151.09,152.34,150.41,152.11,130.015212504,170605782,0.0000,1.0
2013-02-28,151.9,152.87,151.41,151.61,129.587840167,126627248,0.0000,1.0
2013-02-27,149.89,152.33,149.76,151.91,129.844263569,147089201,0.0000,1.0
2013-02-26,149.72,150.2,148.73,150.02,128.228796134,186316695,0.0000,1.0
2013-02-25,152.63,152.86,149.0,149.0,127.356956565,237325697,0.0000,1.0
2013-02-22,151.15,151.89,150.49,151.89,129.827168676,106239444,0.0000,1.0
2013-02-21,150.96,151.42,149.94,150.42,128.570694004,181438601,0.0000,1.0
2013-02-20,153.14,153.19,151.26,151.34,129.357059105,160357559,0.0000,1.0
2013-02-19,152.37,153.28,152.16,153.25,130.989621434,95043470,0.0000,1.0
2013-02-15,152.43,152.59,151.55,152.11,130.015212504,215103754,0.0000,1.0
2013-02-14,151.69,152.47,151.52,152.29,130.169066546,80765157,0.0000,1.0
2013-02-13,152.33,152.61,151.72,152.15,130.049402291,82228386,0.0000,1.0
2013-02-12,151.78,152.3,151.61,152.02,129.938285484,65311038,0.0000,1.0
2013-02-11,151.74,151.9,151.39,151.77,129.724599315,73707733,0.0000,1.0
2013-02-08,151.22,151.89,151.22,151.8,129.750241655,103104819,0.0000,1.0
2013-02-07,151.21,151.35,149.86,150.96,129.032256128,162376010,0.0000,1.0
2013-02-06,150.52,151.26,150.41,151.16,129.203205063,138641354,0.0000,1.0
2013-02-05,150.35,151.48,150.29,151.05,129.109183149,113835751,0.0000,1.0
2013-02-04,150.32,151.27,149.43,149.54,127.81851869,158901804,0.0000,1.0
2013-02-01,150.65,151.42,150.39,151.24,129.271584637,131103910,0.0000,1.0
2013-01-31,149.89,150.38,149.6,149.7,127.955277838,108490791,0.0000,1.0
2013-01-30,150.64,150.94,149.93,150.07,128.271533368,137305441,0.0000,1.0
2013-01-29,149.77,150.85,149.67,150.66,128.775832726,105606462,0.0000,1.0
2013-01-28,150.29,150.33,149.51,150.07,128.271533368,113251578,0.0000,1.0
2013-01-25,149.88,150.25,149.37,150.25,128.425387409,147142564,0.0000,1.0
2013-01-24,149.15,150.14,149.01,149.41,127.707401882,146167943,0.0000,1.0
2013-01-23,149.13,149.5,148.86,149.37,127.673212095,104286611,0.0000,1.0
2013-01-22,148.33,149.13,147.98,149.13,127.468073373,111615740,0.0000,1.0
2013-01-18,147.97,148.49,147.43,148.33,126.784277633,169850738,0.0000,1.0
2013-01-17,147.7,148.42,147.15,148.0,126.50221189,133581775,0.0000,1.0
2013-01-16,146.77,147.28,146.61,147.05,125.690204449,104747927,0.0000,1.0
2013-01-15,146.29,147.21,146.2,147.07,125.707299343,93129495,0.0000,1.0
2013-01-14,146.89,147.07,146.43,146.97,125.621824875,89495130,0.0000,1.0
2013-01-11,147.04,147.15,146.61,147.07,125.707299343,113891272,0.0000,1.0
2013-01-10,146.73,147.09,145.97,147.08,125.715846789,130545424,0.0000,1.0
2013-01-09,145.87,146.32,145.64,145.92,124.724342967,90616572,0.0000,1.0
2013-01-08,145.71,145.91,144.98,145.55,124.408087437,121133837,0.0000,1.0
2013-01-07,145.85,146.11,145.43,145.97,124.7670802,109872420,0.0000,1.0
2013-01-04,145.97,146.61,145.67,146.37,125.10897807,116753387,0.0000,1.0
2013-01-03,145.99,146.37,145.34,145.73,124.561941478,144670984,0.0000,1.0
2013-01-02,145.11,146.15,144.73,146.06,124.844007221,191699844,0.0000,1.0
2012-12-31,139.66,142.56,139.54,142.41,121.724189158,243370696,0.0000,1.0
2012-12-28,140.64,141.42,139.87,140.03,119.689896831,148156789,0.0000,1.0
2012-12-27,141.79,142.08,139.92,141.56,120.997656184,167731111,0.0000,1.0
2012-12-26,142.64,142.71,141.35,141.75,121.160057672,105880761,0.0000,1.0
2012-12-24,142.48,142.56,142.19,142.35,121.672904477,53874548,0.0000,1.0
2012-12-21,142.17,144.09,141.94,142.79,122.048992134,245707986,1.0218,1.0
2012-12-20,144.38,145.14,143.98,145.12,123.159198645,167906484,0.0000,1.0
2012-12-19,145.53,145.58,144.24,144.29,122.454801354,150656553,0.0000,1.0
2012-12-18,144.0,145.5,143.79,145.37,123.371366504,177579280,0.0000,1.0
2012-12-17,142.47,143.85,142.43,143.77,122.013492208,143176435,0.0000,1.0
2012-12-14,142.32,142.58,141.88,142.1,120.596210911,137650387,0.0000,1.0
2012-12-13,143.42,143.83,142.27,142.63,121.046006772,135280737,0.0000,1.0
2012-12-12,144.0,144.55,143.31,143.51,121.792837635,146740002,0.0000,1.0
2012-12-11,143.06,144.11,142.99,143.44,121.733430634,152344305,0.0000,1.0
2012-12-10,142.21,142.81,142.15,142.47,120.910219342,98424357,0.0000,1.0
2012-12-07,142.53,142.69,141.67,142.41,120.859299056,108661551,0.0000,1.0
2012-12-06,141.37,142.04,141.16,141.98,120.494370339,103086256,0.0000,1.0
2012-12-05,141.37,142.16,140.37,141.5,120.08700805,147129404,0.0000,1.0
2012-12-04,141.44,141.87,140.87,141.25,119.874840192,126623508,0.0000,1.0
